approval_month,orders,late_orders,late_rate,mean_delay_days
2016-09,1,1,1.0,36.32474537037037
2016-10,265,3,0.011320754716981131,-36.076073200559044
2016-12,1,0,0.0,-21.33699074074074
2017-01,715,22,0.03076923076923077,-26.796599957912456
2017-02,1638,50,0.030525030525030524,-19.13690975048614
2017-03,2553,143,0.05601253427340384,-11.681356020875949
2017-04,2278,180,0.07901668129938542,-12.481594915536695
2017-05,3547,130,0.036650690724555963,-12.949750199699277
2017-06,3143,121,0.038498250079541836,-12.003645247817019
2017-07,3827,132,0.03449176900966815,-11.754217163743963
2017-08,4217,136,0.032250414986957555,-12.343213988902942
2017-09,4162,217,0.05213839500240269,-10.56466805878139
2017-10,4441,233,0.05246566088718757,-11.21546172763058
2017-11,7149,1009,0.14113862078612394,-7.423319364790725
2017-12,5675,504,0.08881057268722467,-12.058604833578071
2018-01,6991,458,0.065512802174224,-12.277564221128223
2018-02,6534,1009,0.1544230180593817,-7.757884443835096
2018-03,7083,1530,0.21601016518424396,-5.6469963553840445
2018-04,6624,362,0.05464975845410628,-12.144522938123435
2018-05,6940,567,0.08170028818443804,-11.39742853092646
2018-06,6094,83,0.013619954053167049,-18.58501259397525
2018-07,6021,248,0.041189171234014284,-10.888603516165642
2018-08,6496,686,0.10560344827586207,-7.431304839659164
