feature,importance_mean,importance_std
promised_lead_days,0.06948103537686871,0.0006122106342033838
shipping_limit_slack_days_min,0.001191480040186116,0.0006179866518972499
dominant_payment_type,0.0008693935731022174,0.00019393931641782373
dominant_product_category,0.0007967623785333194,0.0006261535078960803
payment_installments_max,0.0006467156467930612,0.00014891065329035983
payment_value_total,0.0005795204814508015,0.0005057463757641227
approval_dow_sin,0.0004504249126085186,0.00047790850865327714
seller_count,0.0003871590643981293,0.00023944796696046209
price_total,0.00032984358537070104,0.0005748646439231683
freight_ratio,0.00021899228335920117,0.0004976775622532105
item_count,0.00019809444443210367,0.0002646998163627313
unique_product_count,0.00015845772032743456,6.099222180421464e-05
product_volume_cm3_total,0.0001347273060966103,0.0008036333612906185
payment_record_count,6.400135360580539e-05,2.142584023893038e-05
new_seller_share,5.8028486909308954e-05,7.54179747883666e-05
approval_month_cos,3.146336320658527e-05,0.00017549746276497805
category_count,-3.347006345599257e-05,3.588894938512006e-05
product_weight_g_total,-0.000488447048222429,0.0006306356892797517
approval_dow_cos,-0.0006544661594256429,0.00021267757343477832
dominant_seller_state,-0.0009045389681621941,0.0017449110960340317
distance_km_mean,-0.0022547926552326596,0.002489246361853217
distance_km_max,-0.003840934095696813,0.0022407818472311805
approval_month_sin,-0.004961212404422713,0.004014479045550269
freight_total,-0.005692257861789046,0.002219383769579032
seller_history_delivery_days,-0.005859139579962175,0.0014399551858996257
seller_history_order_count,-0.008470277326351357,0.0019953226286902027
customer_state,-0.009978395717716252,0.004138724925997077
seller_history_late_rate,-0.010426608557092265,0.0026165301043204977
